strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.14754,0.025842181907880766
random,200,0.23293999999999998,0.02594055372115253
random,300,0.30802,0.04238834319762923
random,400,0.34918,0.01993902903954955
random,500,0.36068,0.021065249883160646
random,600,0.38595999999999997,0.0145650025252315
random,700,0.4133800000000001,0.016807888547940818
random,800,0.41222000000000003,0.014601592209070908
random,900,0.37792,0.013339150041887973
random,1000,0.43112000000000006,0.022845176835384753
random,1100,0.42855999999999994,0.018371024689983962
random,1200,0.44406,0.024226155009823575
random,1300,0.45346000000000003,0.01963335042625176
random,1400,0.46751999999999994,0.02127691719775211
random,1500,0.47291999999999995,0.024048920454773
random,1600,0.49013999999999996,0.01200563598315392
random,1700,0.48068,0.016777806073500774
random,1800,0.47989999999999994,0.01829038142849951
random,1900,0.5056200000000001,0.013527891034451739
random,2000,0.48754,0.015138332515835429
uncertainty,100,0.14754,0.025842181907880766
uncertainty,200,0.21094,0.037423971261211705
uncertainty,300,0.27866,0.019414054768646348
uncertainty,400,0.31546,0.030802483499873832
uncertainty,500,0.35004,0.03946841444193064
uncertainty,600,0.33768000000000004,0.018509644768066172
uncertainty,700,0.37742,0.016514602236808496
uncertainty,800,0.3783,0.01877215516662911
uncertainty,900,0.38034,0.01300435998271348
uncertainty,1000,0.42148,0.01838929198854595
uncertainty,1100,0.4041,0.029609301646610985
uncertainty,1200,0.414,0.011951822220900039
uncertainty,1300,0.41925999999999997,0.021430124091101278
uncertainty,1400,0.41315999999999997,0.039070553671019304
uncertainty,1500,0.4465,0.012265591677534354
uncertainty,1600,0.44593999999999995,0.03041536058244255
uncertainty,1700,0.45594,0.017577670771749026
uncertainty,1800,0.45232,0.020505141185566126
uncertainty,1900,0.48392,0.009580651618757456
uncertainty,2000,0.4686,0.025092440232069878
diversity,100,0.14754,0.025842181907880766
diversity,200,0.24525999999999998,0.03583175917757877
diversity,300,0.27432,0.029805948839786992
diversity,400,0.32802,0.02034281724442315
diversity,500,0.39288,0.010771515206320801
diversity,600,0.40184,0.007677748065676548
diversity,700,0.39918,0.016337561159487674
diversity,800,0.39306,0.03089612849792025
diversity,900,0.39626,0.013866303940127663
diversity,1000,0.43396,0.009114231825008623
diversity,1100,0.44256,0.01697518422168078
diversity,1200,0.43145999999999995,0.017622852554566745
diversity,1300,0.42858,0.02211392529244864
diversity,1400,0.4535,0.010771087224602719
diversity,1500,0.46776,0.013563936396194137
diversity,1600,0.46786000000000005,0.009360841808299082
diversity,1700,0.46378,0.017661916607208842
diversity,1800,0.47786,0.012940839700730386
diversity,1900,0.47294,0.0065175820792683446
diversity,2000,0.4782,0.020034421658735233
