strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.14754,0.025842181907880766
random,200,0.24020000000000002,0.014620732950163614
random,300,0.26742,0.04989235342454793
random,400,0.34819999999999995,0.026033935637932267
random,500,0.37484,0.022270516710664802
random,600,0.39196,0.022113855804902056
random,700,0.40494,0.020271612095736254
random,800,0.39364,0.02323956717669242
random,900,0.38381999999999994,0.02620443035518994
random,1000,0.43351999999999996,0.013489499762407795
random,1100,0.43862000000000007,0.018918762302011196
random,1200,0.43834,0.009856403287203712
random,1300,0.43006,0.021280636253646172
random,1400,0.4589,0.008685918627295565
random,1500,0.46734,0.016637918071681922
random,1600,0.47084000000000004,0.018814734124084753
random,1700,0.4642799999999999,0.011558583816367821
random,1800,0.4816599999999999,0.02310661282317249
random,1900,0.47942,0.016301545173387718
random,2000,0.47686,0.01624266557434464
uncertainty,100,0.14754,0.025842181907880766
uncertainty,200,0.22471999999999998,0.0291606505112626
uncertainty,300,0.25402,0.03245817994650963
uncertainty,400,0.30842,0.014887925706423973
uncertainty,500,0.34744,0.030289870692361838
uncertainty,600,0.34922,0.029974635714884016
uncertainty,700,0.35932,0.018815938749900316
uncertainty,800,0.37726000000000004,0.013841763679531594
uncertainty,900,0.35966000000000004,0.010427052630537545
uncertainty,1000,0.41600000000000004,0.015995929732278764
uncertainty,1100,0.37942,0.01842206074900418
uncertainty,1200,0.43113999999999997,0.014776190285726569
uncertainty,1300,0.41513999999999995,0.02807207220281396
uncertainty,1400,0.40564,0.037531088033255854
uncertainty,1500,0.44096,0.012210752808897572
uncertainty,1600,0.44664000000000004,0.03024875054874167
uncertainty,1700,0.44941999999999993,0.019908853765096567
uncertainty,1800,0.4486,0.020577479845695395
uncertainty,1900,0.4428599999999999,0.017288666604455077
uncertainty,2000,0.45876,0.02882317116765606
diversity,100,0.14754,0.025842181907880766
diversity,200,0.22366000000000003,0.014788534456125125
diversity,300,0.29206,0.0074574329738858565
diversity,400,0.35953999999999997,0.00733616244094963
diversity,500,0.38106,0.01443771176329545
diversity,600,0.3748,0.00847504543940621
diversity,700,0.39805999999999997,0.018105838819563142
diversity,800,0.40324,0.015679828499062087
diversity,900,0.39042,0.02128684526744158
diversity,1000,0.41983999999999994,0.014068595472185554
diversity,1100,0.42869999999999997,0.024542847332777003
diversity,1200,0.42208000000000007,0.029568300415140525
diversity,1300,0.43516000000000005,0.012631983318545032
diversity,1400,0.43987999999999994,0.01846174346696433
diversity,1500,0.44467999999999996,0.02214421843822896
diversity,1600,0.44996,0.021842491857844426
diversity,1700,0.45864000000000005,0.01384772943698714
diversity,1800,0.46765999999999996,0.019340900231374945
diversity,1900,0.45620000000000005,0.015516838595538733
diversity,2000,0.47964,0.013500487967477302
