strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.14754,0.025842181907880766
random,200,0.24495999999999998,0.022838466344306047
random,300,0.29134000000000004,0.07165159537205015
random,400,0.35219999999999996,0.010883560740860495
random,500,0.37601999999999997,0.015370874348585379
random,600,0.40702,0.011118297596304937
random,700,0.41958,0.012809226074982038
random,800,0.42026,0.01342687267236865
random,900,0.40914,0.013938700920817539
random,1000,0.43208,0.0224391668080613
random,1100,0.4260400000000001,0.02321508925160528
random,1200,0.44921999999999995,0.027424833808794555
random,1300,0.45006,0.02178023047077327
random,1400,0.47594000000000003,0.016102399056041307
random,1500,0.47919999999999996,0.02268415295310806
random,1600,0.48346,0.021252185190233946
random,1700,0.4928800000000001,0.01445590024315331
random,1800,0.48022,0.02287189833485625
random,1900,0.51544,0.008046653426114499
random,2000,0.5112,0.010805627718924992
uncertainty,100,0.14754,0.025842181907880766
uncertainty,200,0.20194,0.049694585372654025
uncertainty,300,0.24377999999999997,0.07834682676815952
uncertainty,400,0.32015999999999994,0.006690637350805976
uncertainty,500,0.3558,0.020038735568892553
uncertainty,600,0.37522,0.010889630179211778
uncertainty,700,0.38688,0.015635886947659862
uncertainty,800,0.40712000000000004,0.023085555289834372
uncertainty,900,0.37176,0.013879042191736427
uncertainty,1000,0.40664,0.041315693533571465
uncertainty,1100,0.40956000000000004,0.015100728385081292
uncertainty,1200,0.43318,0.007170600465790859
uncertainty,1300,0.42347999999999997,0.019307482379637187
uncertainty,1400,0.43754,0.017860063766963426
uncertainty,1500,0.4532,0.013958860755806683
uncertainty,1600,0.45409999999999995,0.02633265653138703
uncertainty,1700,0.46154,0.021632096545642535
uncertainty,1800,0.44109999999999994,0.0314356749442413
uncertainty,1900,0.48682,0.027923940535676556
uncertainty,2000,0.48222,0.032488819526723334
diversity,100,0.14754,0.025842181907880766
diversity,200,0.25778,0.027356460835422407
diversity,300,0.32292,0.015283023805517021
diversity,400,0.35894000000000004,0.022660736461112652
diversity,500,0.36368000000000006,0.020122185145753924
diversity,600,0.38655999999999996,0.010231800748646352
diversity,700,0.40458,0.02205513024763171
diversity,800,0.42347999999999997,0.020102798069920495
diversity,900,0.38552,0.02786547930038169
diversity,1000,0.43238000000000004,0.01540495164030059
diversity,1100,0.4298,0.02167577460668936
diversity,1200,0.44956000000000007,0.022668787549403713
diversity,1300,0.45583999999999997,0.02111726958107985
diversity,1400,0.4649000000000001,0.01528561263410794
diversity,1500,0.46396,0.02401304780655715
diversity,1600,0.47450000000000003,0.035479410885751746
diversity,1700,0.49217999999999995,0.02042856014113573
diversity,1800,0.48613999999999996,0.02518799042718572
diversity,1900,0.49795999999999996,0.022574622799949498
diversity,2000,0.50736,0.013082996329587487
