strategy,labels,accuracy_mean,accuracy_ci95
random,100,0.17503333333333335,0.04268802207229148
random,150,0.1741,0.0315568115837664
random,200,0.17673333333333333,0.044699221787906376
random,250,0.1777,0.009703484734877461
random,300,0.1931333333333333,0.03314744469454287
random,350,0.19036666666666666,0.026941822193591716
random,400,0.23686666666666667,0.03974780345014188
random,450,0.2391,0.039346725403774076
random,500,0.2358,0.040618054376512586
random,550,0.2623,0.059560247458630776
random,600,0.28753333333333336,0.04258545744474018
random,650,0.3071,0.0414341094912553
random,700,0.31466666666666665,0.03971347810392725
random,750,0.3107666666666667,0.021705125702878962
random,800,0.32980000000000004,0.011146755103317458
random,850,0.3598333333333333,0.03405389934272496
random,900,0.3523,0.03852800339147275
random,950,0.3788,0.010766330727473197
random,1000,0.3569333333333333,0.026719416394158854
uncertainty,100,0.17503333333333335,0.04268802207229148
uncertainty,150,0.1612,0.043810421104268485
uncertainty,200,0.16296666666666668,0.04012886936414289
uncertainty,250,0.19140000000000001,0.038750543325223194
uncertainty,300,0.21063333333333334,0.04550582745588134
uncertainty,350,0.19626666666666667,0.0359310168950325
uncertainty,400,0.22873333333333332,0.03129098377772386
uncertainty,450,0.24086666666666665,0.02742047082827798
uncertainty,500,0.2619666666666667,0.021303475939646835
uncertainty,550,0.26156666666666667,0.023725537109012103
uncertainty,600,0.30316666666666664,0.0983834967551864
uncertainty,650,0.3088,0.06125587971778709
uncertainty,700,0.28256666666666663,0.0484433780453474
uncertainty,750,0.3184666666666667,0.020652465012949674
uncertainty,800,0.33243333333333336,0.032300842286919436
uncertainty,850,0.33616666666666667,0.03811756300942885
uncertainty,900,0.32156666666666667,0.0541774081493179
uncertainty,950,0.3439666666666667,0.05002882669466119
uncertainty,1000,0.3712666666666667,0.04422169086671283
diversity,100,0.17503333333333335,0.04268802207229148
diversity,150,0.17056666666666664,0.035326670365477576
diversity,200,0.18203333333333335,0.024703603767691686
diversity,250,0.20166666666666666,0.03102219028014911
diversity,300,0.23679999999999998,0.05057825477416162
diversity,350,0.24549999999999997,0.07141002073472136
diversity,400,0.2583666666666667,0.047253256414534844
diversity,450,0.2584,0.03340195020254556
diversity,500,0.2427,0.037295663662147115
diversity,550,0.2999,0.06118601831573399
diversity,600,0.32880000000000004,0.03634959022235783
diversity,650,0.307,0.05374261385530108
diversity,700,0.3332,0.010491646454838906
diversity,750,0.3564,0.03273512959090482
diversity,800,0.3611,0.02893263633569075
diversity,850,0.35119999999999996,0.04339545051423402
diversity,900,0.34800000000000003,0.01803342023392493
diversity,950,0.35023333333333334,0.022550034481373025
diversity,1000,0.3706666666666667,0.038500296402899425
